date, pm25, pm10, o3, no2, so2, co
2025/11/1, 69, 28, 34, 10, , 7
2025/11/2, 78, 37, 21, 11, , 6
2025/11/3, 85, 21, 16, 9, , 6
2025/11/4, 59, 15, 28, 12, , 6
2025/11/5, 45, 15, 33, 10, , 6
2025/11/6, 45, 17, 28, 4, , 5
2025/11/7, 38, 16, 29, 7, , 6
2025/11/8, 44, 31, 38, 17, , 7
2025/11/9, 79, 15, 25, 9, , 7
2025/11/10, 42, 16, 18, 11, , 7
2025/11/11, 41, 21, 29, 10, , 6
2025/11/12, 55, 16, 22, 9, , 6
2025/11/13, 43, 18, 26, 11, , 5
2025/11/14, 66, , , , , 
2025/10/1, 28, 5, 23, 9, , 5
2025/10/2, 20, 7, 20, 12, , 4
2025/10/3, 22, 13, 28, 12, , 3
2025/10/4, 34, 12, 18, 1, , 2
2025/10/5, 26, 7, 19, 6, , 2
2025/10/6, 19, 11, 43, 11, , 3
2025/10/7, 36, 14, 44, 9, , 3
2025/10/8, 45, 17, 44, 5, , 4
2025/10/9, 51, 17, 46, 10, , 4
2025/10/10, 46, 13, 39, 9, , 4
2025/10/11, 35, 5, 20, 4, , 3
2025/10/12, 18, 4, 17, 6, , 3
2025/10/13, 16, 4, 19, 6, , 3
2025/10/14, 16, 9, 32, 11, , 4
2025/10/15, 38, 17, 36, 8, , 4
2025/10/16, 53, 20, 34, 12, , 4
2025/10/17, 57, 23, 52, 12, , 4
2025/10/18, 66, 22, 46, 7, , 4
2025/10/19, 62, 23, 25, 13, , 5
2025/10/20, 59, 11, 18, 10, , 4
2025/10/21, 33, 8, 21, 12, , 4
2025/10/22, 30, 20, 32, 13, , 3
2025/10/23, 56, 27, 31, 12, , 3
2025/10/24, 69, 30, 42, 13, , 4
2025/10/25, 76, 30, 41, 11, , 5
2025/10/26, 79, 40, 22, 11, , 6
2025/10/27, 105, 37, 20, 10, , 6
2025/10/28, 109, 19, 31, 7, , 5
2025/10/29, 69, 31, 34, 16, , 5
2025/10/30, 66, 30, 37, 15, , 6
2025/10/31, 80, 23, 21, 9, , 7
2025/7/1, 13, 7, 25, 5, , 3
2025/7/2, 18, 12, 35, 11, , 4
2025/7/3, 36, 14, 46, 10, , 5
2025/7/4, 39, 19, 81, 13, , 5
2025/7/5, 47, 11, 76, 10, , 5
2025/7/6, 32, 18, 55, 8, , 6
2025/7/7, 56, 7, 27, 6, , 5
2025/7/8, 23, 12, 38, 7, , 5
2025/7/9, 37, 9, 21, 16, , 5
2025/7/10, 35, 9, 27, 18, , 4
2025/7/11, 35, 11, 19, 9, , 3
2025/7/12, 32, 17, 25, 3, , 2
2025/7/13, 43, 11, 26, 8, , 3
2025/7/14, 35, 11, 22, 6, , 3
2025/7/15, 38, 11, 29, 6, , 3
2025/7/16, 38, 15, 37, 11, , 3
2025/7/17, 49, 18, 21, 19, , 4
2025/7/18, 61, 26, 72, 19, , 4
2025/7/19, 73, 6, 23, 5, , 3
2025/7/20, 19, 7, 28, 4, , 2
2025/7/21, 20, 12, 25, 3, , 2
2025/7/22, 25, 8, 29, 7, , 2
2025/7/23, 21, 18, 28, 17, , 2
2025/7/24, 48, 24, 113, 16, , 3
